湖南,#genre#
CCTV-11,http://223.110.241.137:6610/gitv/live1/G_CCTV--11-HQ/G_CCTV--11-HQ/.m3u8
CCTV-12,http://111.23.232.117:80/000000001000/1000000001000001640/1.m3u8
CCTV-12,http://183.215.102.57:8089/180000001001/00000001000000000008000000047440/main.m3u8
CCTV-12,http://211.137.115.110:8080/gitv_live/G_CCTV--12-HD/G_CCTV--12-HD.m3u8
CCTV-12,http://223.110.241.137:6610/gitv/live1/CCTV--12/CCTV--12/.m3u8
CCTV-12,http://39.134.240.3/PLTV/2/224/3221225815/index.m3u8
CCTV-13,http://111.23.232.117:80/000000001000/1000000002000021303/1.m3u8
CCTV-13,http://183.215.102.57:8089/180000001001/00000000000000020000000000182324/main.m3u8
CCTV-13,http://211.137.115.110:8080/gitv_live/CCTV--13/CCTV--13.m3u8
CCTV-13,http://223.110.241.137:6610/gitv/live1/G_CCTV-13-HQ/G_CCTV-13-HQ/.m3u8
CCTV-13,http://223.110.241.137:6610/gitv/live1/G_CCTV--13-HQ/G_CCTV--13-HQ/.m3u8
CCTV-14,http://111.23.232.117:80/000000001000/1000000001000021349/1.m3u8
CCTV-14,http://183.215.102.57:8089/180000001001/00000001000000000008000000047441/main.m3u8
CCTV-14,http://211.137.115.110:8080/gitv_live/G_CCTV--14-HD/G_CCTV--14-HD.m3u8
CCTV-14,http://223.110.241.137:6610/gitv/live1/G_CCTV--14/G_CCTV--14/.m3u8
CCTV-14,http://39.134.240.3/PLTV/2/224/3221225813/index.m3u8
CCTV-15,http://111.23.232.117:80/000000001000/1000000002000008163/1.m3u8
CCTV-15,http://183.215.102.57:8089/180000001001/00000001000000000026000000446967/main.m3u8
CCTV-15,http://211.137.115.110:8080/gitv_live/G_CCTV--15/G_CCTV--15.m3u8
CCTV-15,http://223.110.241.137:6610/gitv/live1/G_CCTV-15/G_CCTV-15/.m3u8
CCTV-15,http://223.110.241.137:6610/gitv/live1/G_CCTV-15/G_CCTV-15/.m3u8
CCTV-17,http://111.23.232.117:80/000000001000/1000000005000056836/1.m3u8
CCTV-17,http://183.215.102.57:8089/180000001001/00000001000000000025000000024152/main.m3u8
CCTV-17,http://211.137.115.110:8080/gitv_live/G_CCTV--17-HD/G_CCTV--17-HD.m3u8
CETV1,http://111.23.232.117:80/000000001000/1000000002000027253/1.m3u8
CETV1,http://183.215.102.57:8089/180000001001/00000001000000000016000000007220/main.m3u8
CGTN,http://111.23.232.117:80/000000001000/1000000002000009569/1.m3u8
CGTN,http://183.215.102.57:8089/180000001001/00000000000000020000000000182292/main.m3u8
CGTN纪录,http://183.215.102.57:8089/180000001001/00000000000000020000000000182305/main.m3u8
CCTV1,http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV2,http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV3,http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV4,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV5,http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV5+,http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV6,http://39.134.115.163:8080/PLTV/88888910/224/3221225650/index.m3u8
CCTV7,http://39.134.115.163:8080/PLTV/88888910/224/3221225624/index.m3u8
CCTV8,http://39.134.115.163:8080/PLTV/88888910/224/3221225635/index.m3u8
CCTV9,http://39.134.115.163:8080/PLTV/88888910/224/3221225626/index.m3u8
CCTV10,http://39.134.115.163:8080/PLTV/88888910/224/3221225627/index.m3u8
CCTV11,http://39.134.115.163:8080/PLTV/88888910/224/3221225628/index.m3u8
CCTV12,http://39.134.115.163:8080/PLTV/88888910/224/3221225629/index.m3u8
CCTV13,http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV14,http://39.134.115.163:8080/PLTV/88888910/224/3221225639/index.m3u8
CCTV15,http://39.134.115.163:8080/PLTV/88888910/224/3221225641/index.m3u8
CCTV17,http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8

卫视,#genre#
安徽卫视,http://111.23.232.117:80/000000001000/1000000001000020780/1.m3u8
安徽卫视,http://183.215.102.57:8089/180000001001/00000001000000000016000000007224/main.m3u8
安徽卫视,http://211.137.115.110:8080/gitv_live/AHWS/AHWS.m3u8
安徽卫视,http://211.137.115.110:8080/gitv_live/G_ANHUI-HD/G_ANHUI-HD.m3u8
安徽卫视,http://223.110.241.137:6610/gitv/live1/AHWS/AHWS/.m3u8
安徽卫视,http://223.110.241.137:6610/gitv/live1/G_ANHUI-CQ/G_ANHUI-CQ/.m3u8
北京卫视,http://111.23.232.117:80/000000001000/1000000001000017156/1.m3u8
北京卫视,http://183.215.102.57:8089/180000001001/00000001000000000008000000047443/main.m3u8
北京卫视,http://211.137.115.110:8080/gitv_live/BTV-1/BTV-1.m3u8
北京卫视,http://211.137.115.110:8080/gitv_live/G_BEIJING/G_BEIJING.m3u8
北京卫视,http://211.137.115.110:8080/gitv_live/G_BEIJING-MD/G_BEIJING-MD.m3u8
北京卫视,http://223.110.241.137:6610/gitv/live1/BTV-1/BTV-1/.m3u8
北京卫视,http://223.110.241.137:6610/gitv/live1/G_BEIJING/G_BEIJING/.m3u8
北京卫视,http://223.110.241.137:6610/gitv/live1/G_BEIJING-CQ/G_BEIJING-CQ/1.m3u8
北京卫视,http://39.134.240.3/PLTV/2/224/3221226204/index.m3u8
